Fund Name (AS CITED),SSGA S&P 500 EX-TOB AND FF
Internal Name,Unknown
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,NaN
Note:,"The holdings for this security are fully private, but using SPDR's ex-fossil fuels S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
,
,
,
,
,
,
Unrestricted Data Divider,
Fund Name:,SPDR® S&P® 500 Fossil Fuel Reserves Free ETF
Ammount of companies in fund (restricted),489
Filing Date (restricted),"Apr 29, 2024"
Source,https://www.ssga.com/us/en/institutional/etfs/funds/spdr-sp-500-fossil-fuel-reserves-free-etf-spyx
Company,Index Weight
POOL CORP,0.00034283
NORDSON CORP,0.00033949
VIATRIS INC,0.0003361
LOEWS CORP,0.00033481
KEYCORP,0.00032986
EPAM SYSTEMS INC,0.00032957
STANLEY BLACK + DECKER INC,0.00032486
HEALTHPEAK PROPERTIES INC,0.00032211
HUNT (JB) TRANSPRT SVCS INC,0.00032063
HOST HOTELS + RESORTS INC,0.00031922
PENTAIR PLC,0.0003172
REVVITY INC,0.00031417
AMCOR PLC,0.000314
WALGREENS BOOTS ALLIANCE INC,0.00030536
LIVE NATION ENTERTAINMENT IN,0.00030493
WESTROCK CO,0.0003039
ROLLINS INC,0.00030135
INTERNATIONAL PAPER CO,0.00030129
KIMCO REALTY CORP,0.00030013
INTERPUBLIC GROUP OF COS INC,0.00029251
ALLIANT ENERGY CORP,0.0002924
JM SMUCKER CO/THE,0.00029183
JACK HENRY + ASSOCIATES INC,0.00028993
LKQ CORP,0.00028916
MOLSON COORS BEVERAGE CO  B,0.0002875
LAMB WESTON HOLDINGS INC,0.00028701
CHARLES RIVER LABORATORIES,0.00028677
EVERGY INC,0.00028544
INSULET CORP,0.0002839
GEN DIGITAL INC,0.00028363
MGM RESORTS INTERNATIONAL,0.00027994
EASTMAN CHEMICAL CO,0.00027919
AES CORP,0.00027883
QORVO INC,0.00027793
UDR INC,0.00027547
JUNIPER NETWORKS INC,0.0002743
NISOURCE INC,0.00027016
CARMAX INC,0.00026863
HUNTINGTON INGALLS INDUSTRIE,0.0002633
ALLEGION PLC,0.00026298
F5 INC,0.00026017
CAMDEN PROPERTY TRUST,0.00025206
BATH + BODY WORKS INC,0.00025168
SMITH (A.O.) CORP,0.00024982
UNIVERSAL HEALTH SERVICES B,0.00024757
HORMEL FOODS CORP,0.00024458
MOSAIC CO/THE,0.00024197
US DOLLAR,0.00024183
CATALENT INC,0.0002415
INCYTE CORP,0.00023641
BIO TECHNE CORP,0.00023607
TELEFLEX INC,0.00023212
HENRY SCHEIN INC,0.00022765
DAYFORCE INC,0.00022681
TAPESTRY INC,0.0002255
PAYCOM SOFTWARE INC,0.00022536
NEWS CORP  CLASS A,0.00022372
ASSURANT INC,0.00022272
REGENCY CENTERS CORP,0.00022207
WYNN RESORTS LTD,0.00022173
SOLVENTUM CORP,0.00021817
CAMPBELL SOUP CO,0.00021505
AMERICAN AIRLINES GROUP INC,0.00021217
MATCH GROUP INC,0.000209
BOSTON PROPERTIES INC,0.0002083
BROWN FORMAN CORP CLASS B,0.0002082
GENERAC HOLDINGS INC,0.00020464
C.H. ROBINSON WORLDWIDE INC,0.00020201
PINNACLE WEST CAPITAL,0.00020045
ETSY INC,0.00019797
NORWEGIAN CRUISE LINE HOLDIN,0.00019613
HASBRO INC,0.00019433
BORGWARNER INC,0.00019
CAESARS ENTERTAINMENT INC,0.00018869
FOX CORP  CLASS A,0.00018648
FMC CORP,0.00018584
MARKETAXESS HOLDINGS INC,0.00018389
DAVITA INC,0.00018135
ROBERT HALF INC,0.000181
FEDERAL REALTY INVS TRUST,0.00017954
GLOBE LIFE INC,0.00016228
COMERICA INC,0.0001618
RALPH LAUREN CORP,0.00015749
FRANKLIN RESOURCES INC,0.00015737
INVESCO LTD,0.00015666
MOHAWK INDUSTRIES INC,0.00015031
PARAMOUNT GLOBAL CLASS B,0.00014695
BIO RAD LABORATORIES A,0.00014585
FOX CORP  CLASS B,0.00010225
NEWS CORP  CLASS B,0.00007258
CONTRA ABIOMED INC,0
S+P500 EMINI FUT JUN24,-0.001419
