Name,Total_investment,UCRP_Amount,GEP_Amount
THOMA BRAVO DISCOVER III,108734100,65240460,43493640
THOMA BRAVO DISCOVER IV,34301967,27441574,6860393
THOMA BRAVO FUND XIII,518348280,358900462,159447818
THOMA BRAVO GROWTH I,131921535,98941151,32980384
THOMA BRAVO XIV,366531950,219919170,146612780
THOMA BRAVO XV,198405824,158724659,39681165
TOPANGA PRIVATE OPPORTUNITIES,830036657,830036657,0
TORL BIOTHERAPEUTICS,20000000,0,20000000
TPG CAPITAL CO‐INVESTMENT,46138352,46138352,0
TPG CAPITAL VIII,120179366,120179366,0
TPG CAPITAL VIII (HEALTHCARE I),48783154,48783154,0
TPG GROWTH IV,125085691,81907721,43177970
TRI PACIFIC CAPITAL ADVISORS SEPARATE ACCOUNT,5131636,0,5131636
TRINITAS ADVANTAGED AGRICULTURE IV,96618454,82125686,14492768
TSG 9,6848716,4794101,2054615
TSG CONSUMER PARTNERS CO-INVESTMENT,34203277,0,34203277
TSG CONSUMER PARTNERS CO‐INVESTMENT,79807647,79807647,0
TSG8 L.P.,57746517,39218757,18527760
UC VENTURES CO-INVESTMENT,65584967,0,65584967
UC VENTURES CO‐INVESTMENT,104195665,104195665,0
UC VENTURES SEPARATE ACCOUNT,337388263,306602003,30786260
UCRP AGENCY MBS INDEX,728863678,728863678,0
UPPER BAY INFRASTRUCTURE FUND I,13742519,11681141,2061378
UPPER BAY INFRASTRUCTURE PARTNERS CO-INVESTMENT,22598769,0,22598769
UPPER BAY INFRASTRUCTURE PARTNERS CO‐INVESTMENT,128059689,128059689,0
VERTICAL VENTURE PARTNERS,2497306,0,2497306
VESTAR CAPITAL PARTNERS V,99200,99200,0
"VIANT MEDICAL HOLDINGS, INC",26250000,26250000,0
VIDA VENTURES II,13952514,6976257,6976257
WALTON STREET REAL ESTATE FUND V,2046083,2046083,0
WALTON STREET REAL ESTATE FUND VI,22004973,19483570,2521403
WANAKA FUND,209325175,142128045,67197130
WARBURG PINCUS PRIVATE EQUITY XI,40504930,40504930,0
WARBURG PINCUS PRIVATE EQUITY XII,48542308,48542308,0
WARD FERRY RECON,311517797,74924727,236593070
WARD FERRY SMALLER COMPANIES,147932626,147932626,0
WATER STREET HEALTHCARE PARTNERS,256209,0,256209
WATER STREET HEALTHCARE PARTNERS CO-INVESTMENT,2450473,0,2450473
WATER STREET HEALTHCARE PARTNERS CO‐INVESTMENT,2450473,2450473,0
WATER STREET HEALTHCARE PARTNERS II,2053548,0,2053548
WATER STREET HEALTHCARE PARTNERS III,17564018,0,17564018
WESTBROOK REAL ESTATE FUND IX,9313071,7450457,1862614
WESTBROOK REAL ESTATE FUND VII,4937094,4443385,493709
WESTBROOK REAL ESTATE FUND VIII,6776835,3328496,3448339
ZEI ES CO INVEST,4319903,0,4319903
"ZEI ES CO INVEST C, L.P.",6852517,6852517,0
ZMC CO-INVESTMENT,5583894,0,5583894
ZMC III,42534773,0,42534773
