Fund Name (AS CITED),ADAGE CAPITAL PARTNERS GP LLC
Internal Name,ADAGE CAPITAL PARTNERS GP LLC
Restricted y/n,n
Ammount of companies in fund (restricted),905
Filing Date (restricted),2026-02-17
Source,SEC EDGAR 13F-HR
Note:,
Restricted Data:,
Company,Index Weight
INVEST GREEN ACQUISITION COR,0.0002010
STEPSTONE GROUP INC,0.0001978
FRONTIER COMMUNICATIONS PARE,0.0001976
ADDUS HOMECARE CORP,0.0001963
TEGNA INC,0.0001960
EVEREST GROUP LTD,0.0001945
CANTOR EQUITY PARTNERS IV IN,0.0001945
SL GREEN RLTY CORP,0.0001944
T1 ENERGY INC,0.0001939
FIRST INDL RLTY TR INC,0.0001939
PTC INC,0.0001927
SKYWARD SPECIALTY INS GROUP,0.0001924
PROQR THRAPEUTICS N V,0.0001912
HARTFORD INSURANCE GROUP INC,0.0001909
TKO GROUP HOLDINGS INC,0.0001895
LAUNCHPAD CADENZA ACQUISITIO,0.0001888
AMERICAN DRIVE ACQUISITION C,0.0001886
HANOVER INS GROUP INC,0.0001881
REGENCY CTRS CORP,0.0001866
PROCEPT BIOROBOTICS CORP,0.0001853
WEALTHFRONT CORP,0.0001834
TAPESTRY INC,0.0001833
TRAILBLAZER ACQUISITION CORP,0.0001818
KEARNY FINL CORP MD,0.0001809
PRICE T ROWE GROUP INC,0.0001798
NETSTREIT CORP,0.0001789
SUPER MICRO COMPUTER INC,0.0001784
WILLIAMS SONOMA INC,0.0001784
ASTRIA THERAPEUTICS INC,0.0001783
DOMINOS PIZZA INC,0.0001769
FIRSTENERGY CORP,0.0001764
ON SEMICONDUCTOR CORP,0.0001748
TEREX CORP NEW,0.0001737
LADDER CAP CORP,0.0001731
MINERVA NEUROSCIENCES INC,0.0001727
LEAPFROG ACQUISITION CORP,0.0001703
WESCO INTL INC,0.0001703
CLOROX CO DEL,0.0001681
IONIS PHARMACEUTICALS INC,0.0001676
HP INC,0.0001665
CERIBELL INC,0.0001659
BUNGE GLOBAL SA,0.0001647
CENTRAL BANCOMPANY,0.0001632
FIRST HORIZON CORPORATION,0.0001627
MANNKIND CORP,0.0001625
PTC THERAPEUTICS INC,0.0001621
AGILENT TECHNOLOGIES INC,0.0001617
WEYERHAEUSER CO MTN BE,0.0001616
DOLLAR TREE INC,0.0001605
PALISADE BIO INC,0.0001600
CDW CORP,0.0001597
ONEOK INC NEW,0.0001592
D R HORTON INC,0.0001575
KIMCO RLTY CORP,0.0001569
CENTENE CORP DEL,0.0001557
GODADDY INC,0.0001540
NAPCO SEC TECHNOLOGIES INC,0.0001537
VIA TRANSN INC,0.0001537
ACLARIS THERAPEUTICS INC,0.0001536
GLOBE LIFE INC,0.0001522
BTC DEV CORP,0.0001515
M3-BRIGADE ACQUISITION VI CO,0.0001513
AVALO THERAPEUTICS INC,0.0001512
SYLVAMO CORP,0.0001457
BRIGHTHOUSE FINL INC,0.0001452
FULLER H B CO,0.0001440
INVESCO LTD,0.0001439
DECKERS OUTDOOR CORP,0.0001437
