Name,Type,Sources,Categories,Country_HQ,Industry,Stock_Symbol,Prisons,Occupations,Borders,Divestment_Shortlist,Involvement_Types
Allison Transmission Holdings Inc,company,investigate_afsc,occupations|divestment_shortlist,USA,Auto Parts,ALSN,,Yes,,Yes,
Alony-Hetz Properties & Investments Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Real Estate Services,ALHE,,Yes,,Yes,
Alphabet Inc,company,investigate_afsc,prisons|occupations|borders,USA,Internet Content & Information,GOOGL,Yes,Yes,Yes,,
Alpro,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Altice International,company,who_profits,occupation_involvement,,,,,,,,Settlement Enterprise|Israeli Construction on Occupied Land|Services to the Settlements|Economic Exploitation|Palestinian Captive Market|The Wall and Checkpoints|Specialized Equipment and Services|Population Control
Always,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Amanet Management & Systems Ltd,company,investigate_afsc,occupations,Israel,Conglomerates,AMAN,,Yes,,,
Amazon,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Amazon.com Inc,company,investigate_afsc,prisons|occupations|borders,USA,Specialty Retail,AMZN,Yes,Yes,Yes,,
Ambipur,brand,boycott.thewitness,consumer_boycott,,,,,,,,
American Eagle,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Amika,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Amir Marketing & Investments In Agriculture Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Agricultural Inputs,AMRK,,Yes,,Yes,
Amos Hadar Properties and Investments (Hadar Group)עמוס הדר נכסים והשקעות (קבוצת הדר),company,who_profits,occupation_involvement,,,,,,,,Settlement Enterprise|Israeli Construction on Occupied Land
Amot Investments Ltd,company,investigate_afsc,occupations,Israel,Real Estate Services,AMOT,,Yes,,,
Apollo Global Management Inc,company,investigate_afsc,occupations,USA,,APO,,Yes,,,
Appletiser,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Aptamil,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Aquafina,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Aquarius,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Aramark,company,investigate_afsc,prisons|borders|divestment_shortlist,USA,Restaurants,ARMK,Yes,,Yes,Yes,
Aramis,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Archer-Daniels Midland Co,company,investigate_afsc,prisons,USA,Farm Products,ADM,Yes,,,,
Ariel,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Arwa,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Ashot- Ashkelon Industries Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Aerospace & Defense,ASHO,,Yes,,Yes,
Ashtrom Group Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Real Estate - General,ASHG,,Yes,,Yes,
Ashtrom Groupקבוצת,company,who_profits,occupation_involvement,,,,,,,,Settlement Enterprise|Settlement Production|Israeli Construction on Occupied Land|Economic Exploitation|Exploitation of Occupied Production and Resources|The Wall and Checkpoints|Specialized Equipment and Services|Population Control
Asseco Poland SA,company,investigate_afsc,occupations,Poland,Software - Application,ACP,,Yes,,,
AT&T Inc,company,investigate_afsc,borders,USA,Telecom Services,T,,,Yes,,
Atlas Copco AB,company,investigate_afsc,occupations,Sweden,Diversified Industrials,ATCO A,,Yes,,,
Aussie,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Aviva,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Aware Inc,company,investigate_afsc,borders,USA,Software-Application,AWRE,,,Yes,,
AXA,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Axe,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Axon Enterprise Inc,company,investigate_afsc,prisons|occupations|borders|divestment_shortlist,USA,Aerospace & Defense,AXON,Yes,Yes,Yes,Yes,
B Communications Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Telecom Services,BCOM,,Yes,,Yes,
B Gaon Holdings Ltd,company,investigate_afsc,occupations,Israel,Conglomerates,GAON-M,,Yes,,,
BAE Systems,brand,boycott.thewitness|investigate_afsc,consumer_boycott|occupations|divestment_shortlist,UK,Aerospace & Defense,BA.,,Yes,,Yes,
Bally,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Bank Hapoalim BM,company,investigate_afsc,occupations|divestment_shortlist,Israel,Banks - Regional - Asia,POLI,,Yes,,Yes,
Bank Leumi Le-Israel BM,company,investigate_afsc,occupations|divestment_shortlist,Israel,Banks - Regional - Asia,LUMI,,Yes,,Yes,
Bank of America,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Bank of Jerusalem Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Banks - Regional - Asia,JBNK,,Yes,,Yes,
Bank of Montreal,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Baran Group Ltd,company,investigate_afsc,occupations,Israel,Engineering & Construction,BRAN,,Yes,,,
Barbican,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Barclays,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Bath & Body Works,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Bayer Pharmaceuticals,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Belvita,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Ben & Jerry's,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Ben's Originals,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Benchmark Electronics Inc,company,investigate_afsc,borders,USA,Electronic Components,BHE,,,Yes,,
Benefit Cosmetics,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Berkshire Hathaway Inc,company,investigate_afsc,prisons,USA,Insurance-Diversified,BRK.A,Yes,,,,
Berskha,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Bezeq The Israeli Telecommunication Corp Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Telecom Services,BEZQ,,Yes,,Yes,
BIOTHERM,brand,boycott.thewitness,consumer_boycott,,,,,,,,
BNP Paribas,brand,boycott.thewitness,consumer_boycott,,,,,,,,
BNY Mellon,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Bobbi Brown,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Body Armor,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Boeing,brand,boycott.thewitness|investigate_afsc,consumer_boycott|occupations|divestment_shortlist,USA,Aerospace & Defense,BA,,Yes,,Yes,
Bold,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Bomaja,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Bon Aqua,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Booking Holdings Inc,company,investigate_afsc,occupations,USA,Leisure,BKNG,,Yes,,,
Booking.com,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Booz Allen Hamilton Holding Corp,company,investigate_afsc,borders|divestment_shortlist,USA,Consulting Services,BAH,,,Yes,Yes,
Bounty,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Bounty Paper Towels,brand,boycott.thewitness,consumer_boycott,,,,,,,,
BP (British Petroleum),brand,boycott.thewitness,consumer_boycott,,,,,,,,
Braun,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Bright Dairy & Food Co Ltd,company,investigate_afsc,occupations,China,Packaged Foods,600597,,Yes,,,
BRP Inc,company,investigate_afsc,occupations,Canada,Recreational Vehicles,DOO,,Yes,,,
Bulgari / Bvlgari,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Burger King,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Buxton,brand,boycott.thewitness,consumer_boycott,,,,,,,,
C Mer Industries Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Communication Equipment,CMER,,Yes,,Yes,
CACI International Inc,company,investigate_afsc,borders,USA,Information Technology Services,CACI,,,Yes,,
Cadbury,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Cadre Holdings Inc,company,investigate_afsc,prisons|occupations|borders|divestment_shortlist,USA,Aerospace & Defense,CDRE,Yes,Yes,Yes,Yes,
