iShares MSCI ACWI ETF
Fund Holdings as of,"Apr 02, 2026"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"204,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"6758","SONY GROUP CORP","Consumer Discretionary","Equity","40,385,001.10","0.14","40,385,001.10","1,933,300.00","20.89","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","40,084,629.12","0.14","40,084,629.12","173,504.00","231.03","United States","NYSE","USD","1.00","USD","-"
"UBSG","UBS GROUP AG","Financials","Equity","39,520,171.30","0.14","39,520,171.30","1,004,602.00","39.34","Switzerland","SIX Swiss Exchange","USD","0.80","CHF","-"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","38,947,527.43","0.14","38,947,527.43","1,796,371.00","21.68","Spain","Bolsa De Madrid","USD","0.87","EUR","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","38,909,412.36","0.14","38,909,412.36","290,868.00","133.77","United States","NYSE","USD","1.00","USD","-"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","38,860,271.70","0.14","38,860,271.70","1,149,400.00","33.81","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"BATS","BRITISH AMERICAN TOBACCO","Consumer Staples","Equity","38,714,199.36","0.14","38,714,199.36","663,272.00","58.37","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"NEM","NEWMONT","Materials","Equity","38,609,802.70","0.14","38,609,802.70","338,534.00","114.05","United States","NYSE","USD","1.00","USD","-"
"BP.","BP PLC","Energy","Equity","38,518,426.20","0.14","38,518,426.20","4,919,246.00","7.83","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","38,276,456.94","0.13","38,276,456.94","190,118.00","201.33","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","38,080,370.06","0.13","38,080,370.06","115,982.00","328.33","United States","NYSE","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","37,845,964.64","0.13","37,845,964.64","198,022.00","191.12","United States","NYSE","USD","1.00","USD","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","37,301,067.58","0.13","37,301,067.58","178,886.00","208.52","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","37,265,004.16","0.13","37,265,004.16","674,325.00","55.26","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","37,256,794.40","0.13","37,256,794.40","625,114.00","59.60","United States","NYSE","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","37,178,656.56","0.13","37,178,656.56","251,343.00","147.92","United States","NYSE","USD","1.00","USD","-"
"SAF","SAFRAN SA","Industrials","Equity","36,952,636.61","0.13","36,952,636.61","111,350.00","331.86","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
