"Name","Description","Sources / Links","Parent Company","Country"
"Oppenheimer Manufacturing and Marketing","Settlement Production--Private Israeli manufacturer and exporter of chocolate products and sweets. The company is based in the industrial zone of ... See link for more.","https://www.whoprofits.org/companies/company/3756?oppenheimer-manufacturing-and-marketing","",""
"Oppy","carries Hadiklaim Medjoul and other Israeli product. It is reported the Costco sells produce from Oppy which indicates on their website products are imported from Israel.","https://bdscoalition.ca/2023/11/22/retailers-selling-israeli-products-and-supporting-israeli-military-and-other-pro-israel-activities/","",""
"Optifast","Nutrition.  Fitness Food. Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.","https://en.wikipedia.org/wiki/Osem_(company)","Nestle",""
"Optifibre","Prebiotic. Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.","https://en.wikipedia.org/wiki/Osem_(company)","Nestle",""
"Optimum Pet","Dog Food.  Cat Food. Mars committed investing $1 Billion dollars in partnership with Jerusalem Venture Partners (JVP) to foster food tech solutions in Israel","https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners","Mars",""
"Oracle","Technology. Oracle donated money to israeli employees after the war started, with an additional 10, 000 israeli shekels for employees who serve in the IOF.","https://www.calcalistech.com/ctechnews/article/bj8f1tfbt","Oracle",""
"Orad","Economic Exploitation, Exploitation of Occupied Production and Resources, Population Control, Services to the Settlements, Settlement Enterprise, Settlement Production, Specialized Equipment and Services, The Wall and Checkpoints--A Public Israeli company, Provider of integration services for security, safety  Homeland Security such as Intruder Movement ... See link for more.","https://www.whoprofits.org/companies/company/4007?orad-group","",""
"Oral B","Procter & Gamble (P&G) has significant involvement in Israel since 2001, with its brands present in 98% of Israeli households, and providing work for countless Israelis. P&G operates a research and development centre in Tel Aviv, where it invests approximately $2 billion annually. In 2007 P&G established the Israel House of Innovation, an open innovation centre Through which it collaborates with Israeli companies, including Teva Pharmaceutical Industries Ltd.","https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=6684002211f5 , http://www.tevapharm.com/ , https://localhost/javascript/viewInstrument('TEVA' , 11 , 'EN') , https://localhost/javascript/viewInstrument('629014' , 45 , 'EN') , https://us.pg.com/brands/","Procter and Gamble",""
"Orbia Advance Corp SAB de CV","A Mexican company (formerly Mexichem) operating in the materials, agriculture, and infrastructure industries. Its Israeli subsidiary Netafim, which specializes in precision-irrigation technologies, provides its products and services to several illegal settlements in the occupied Palestinian territory.","https://investigate.afsc.org/company/orbia","",""
"Orbit chewing gum","Chewing Gum. Mars committed investing $1 Billion dollars in partnership with Jerusalem Venture Partners (JVP) to foster food tech solutions in Israel","https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners","Mars",""
"Orchard Ministries, Inc.","Donates to the International Fellowship of Christians and Jews (IFCJ). The IFCJ, a registered Canadian charity, provides funds to Israeli organizations involved in activities that appear to contravene international law and Canadian policy. It has sent approximately $23M in the last 5 years to KEREN L'YEDIDUT (Israel) , an organization that provides significant support to IDF soldiers and is focused on second coming/Armageddon theology that considers Jewish people as the chosen people.","https://bdscoalition.ca/","",""
"Order of St Lazarus Canada","Affiliate of Canadian Council of Churches. After 18 months of genocide the Canadian Council of Churches has yet to come out in support of Palestinian Christians. Shamefully, neither the Council nor any of its members, associates or affiliates have signed  the ""cry for hope"" call from Christinians in Palestine in 2020. The Council has failed to condemn the ongoing genocide, to call out Israel's apartheid practices or even reference the illegal occupation. The statement of May 10th, 2024 is not enough.","https://rabble.ca/human-rights/canadian-churches-must-speak-out-against-israels-apartheid-crimes/ , https://bdscoalition.ca/2023/12/13/support-the-call-from-palestinian-christian-churches/","Canadian Council of Churches",""
"Oreo","Cookies. Mondelez International has been involved in several initiatives related to Israel, particularly in the food technology sector, investing in Israeli snacks startups, including Torr and The Kitchen.","https://ir.mondelezinternational.com/news-releases/news-release-details/mondelez-international-snackfutures-makes-seed-investment","Mondelez International",""
"Orgain","Nutrition. Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.","https://en.wikipedia.org/wiki/Osem_(company)","Nestle",""
"Organic Basics","Men’s Clothing and Accessories.  Women’s Clothing and Accessories. Delta Galil is an Israeli textile company with manufacturing and operations in illegal West Bank settlements","http://www.inminds.com/boycott-delta-galil.html","Delta Galil Industries",""
