Fund Name (AS CITED),SSGA S&P 500 EX‐TOB UCRP
Internal Name,S&P 500® ex-Tobacco Index Strategy
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,https://www.ssga.com/us/en/institutional/ic/strategies/sp-500-ex-tobacco-index-strategy-smp00869
Note:,"The holdings for this security are fully private, but using SSGA's normal S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
Unrestricted Data Divider,
Fund Name:,State Street S&P 500 Index Fund
Ammount of companies in fund (restricted),500
Filing Date (restricted),"Feb 29, 2024"
Source,https://www.ssga.com/us/en/institutional/ic/funds/state-street-sp-500-index-fund-class-n-svspx
Company,Index Weight
Weyerhaeuser Company,0.00060133
HP Inc.,0.00059763
Westinghouse Air Brake Technologies Corporation,0.00059448
Corning Inc,0.00059358
T. Rowe Price Group,0.00059173
NVR Inc.,0.00058999
AvalonBay Communities Inc.,0.00058872
Church & Dwight Co. Inc.,0.00058471
PulteGroup Inc.,0.00056045
Howmet Aerospace Inc.,0.00055998
Broadridge Financial Solutions Inc.,0.00055845
M&T Bank Corporation,0.00055464
STERIS plc,0.00054946
Take-Two Interactive Software Inc.,0.00054711
Illumina Inc.,0.00054202
eBay Inc.,0.00054179
American Water Works Company Inc.,0.00054087
Aptiv PLC,0.00053736
Raymond James Financial Inc.,0.00053316
Dover Corporation,0.00053218
Fifth Third Bancorp,0.00052962
Align Technology Inc.,0.00052583
PTC Inc.,0.00052506
Iron Mountain Inc.,0.00052403
Builders FirstSource Inc.,0.00052168
Axon Enterprise Inc,0.00051887
SBA Communications Corp. Class A,0.00050993
Genuine Parts Company,0.00050603
DTE Energy Company,0.00049986
State Street Corporation,0.00049956
Molina Healthcare Inc.,0.00049788
Eversource Energy,0.00049529
Baxter International Inc.,0.00048955
Steel Dynamics Inc.,0.00048945
Targa Resources Corp.,0.00048369
Hubbell Incorporated,0.00048195
Entergy Corporation,0.00048166
Darden Restaurants Inc.,0.0004738
Warner Bros. Discovery Inc. Series A,0.00047379
Garmin Ltd.,0.00047328
Southwest Airlines Co.,0.0004731
Cboe Global Markets Inc,0.00047266
Equity Residential,0.00046932
International Flavors & Fragrances Inc.,0.00046822
Coterra Energy Inc.,0.00046514
FLEETCOR Technologies Inc.,0.00046456
Veralto Corporation,0.00046105
