Fund Name (AS CITED),SPDR MSCI
Internal Name,SPDR® MSCI USA StrategicFactors℠ ETF
Restricted y/n,n
Ammount of companies in fund (restricted),610
Filing Date (restricted),"Apr 29, 2024"
Source,https://www.ssga.com/us/en/institutional/etfs/funds/spdr-msci-usa-strategicfactors-etf-qus
Note:,
Restricted Data:,
Company,Index Weight
HUNTINGTON INGALLS INDUSTRIE,0.00017568
EQUINIX INC,0.00017503
VENTAS INC,0.0001728
OVINTIV INC,0.00017201
BOSTON PROPERTIES INC,0.00016742
FOX CORP  CLASS A,0.00016496
QORVO INC,0.00016378
TARGA RESOURCES CORP,0.00016274
SS+C TECHNOLOGIES HOLDINGS,0.00016192
INTERPUBLIC GROUP OF COS INC,0.0001618
HASBRO INC,0.00016171
CORPAY INC,0.00016087
HEALTHPEAK PROPERTIES INC,0.00015928
MCCORMICK + CO NON VTG SHRS,0.00015715
ZEBRA TECHNOLOGIES CORP CL A,0.00015533
SEAGATE TECHNOLOGY HOLDINGS,0.0001541
HESS CORP,0.00015348
AVANTOR INC,0.00015246
KIMCO REALTY CORP,0.00015199
DARDEN RESTAURANTS INC,0.00015013
CARLISLE COS INC,0.00014966
CATALENT INC,0.0001474
ANNALY CAPITAL MANAGEMENT IN,0.00014713
AECOM,0.0001444
NISOURCE INC,0.00014427
CROWN HOLDINGS INC,0.00014414
NASDAQ INC,0.00014272
ESSEX PROPERTY TRUST INC,0.00014163
INVITATION HOMES INC,0.00013908
KNIGHT SWIFT TRANSPORTATION,0.00013864
FRANKLIN RESOURCES INC,0.00013853
AVERY DENNISON CORP,0.00013756
MARRIOTT INTERNATIONAL CL A,0.00013561
FMC CORP,0.00013475
HOWMET AEROSPACE INC,0.00013381
DAVITA INC,0.0001337
NEWS CORP  CLASS A,0.00012919
WP CAREY INC,0.00012886
EQUIFAX INC,0.00012752
MASCO CORP,0.00012711
APOLLO GLOBAL MANAGEMENT INC,0.00012702
BIO RAD LABORATORIES A,0.00012584
SERVICENOW INC,0.00012561
